id_panel,proveedor,lote,espesor_mm,resistencia_fluencia_MPa,recubrimiento_zinc_g_m2,U_W_m2K,cumple_requisito_U
P1003-081,A,1003,1.004,262.3,236.0,0.341,True
P1008-126,B,1008,1.025,230.8,259.0,0.359,True
P1002-058,A,1002,0.885,239.9,225.0,0.349,True
P1008-074,A,1008,0.947,241.6,220.0,0.347,True
P1002-121,B,1002,0.955,228.0,213.0,0.37,True
P1005-013,A,1005,0.877,234.3,228.0,0.36,True
P1009-113,B,1009,0.903,248.8,212.0,0.388,True
P1003-003,B,1003,0.878,228.4,219.0,0.356,True
P1009-093,B,1009,0.902,213.9,207.0,0.377,True
P1008-076,B,1008,0.822,227.5,239.0,0.368,True
P1010-075,B,1010,0.769,212.7,201.0,0.382,True
P1002-079,A,1002,0.867,227.2,222.0,0.354,True
P1008-079,A,1008,0.928,235.3,208.0,0.357,True
P1011-065,A,1011,0.961,218.4,235.0,0.354,True
P1009-072,A,1009,0.909,215.4,196.0,0.346,True
P1003-091,A,1003,0.921,241.5,213.0,0.368,True
P1010-122,B,1010,0.957,232.3,239.0,0.368,True
P1002-088,A,1002,0.9,203.2,219.0,0.368,True
P1007-103,A,1007,0.857,240.0,225.0,0.385,True
P1006-134,A,1006,0.919,238.8,202.0,0.38,True
P1006-158,A,1006,0.894,225.0,233.0,0.354,True
P1006-018,B,1006,0.893,217.6,178.0,0.368,True
P1001-114,B,1001,0.923,245.9,192.0,0.351,True
P1006-036,B,1006,0.856,234.7,215.0,0.365,True
P1011-032,B,1011,0.954,266.9,236.0,0.35,True
P1005-127,A,1005,0.833,233.7,216.0,0.387,True
P1004-011,B,1004,0.88,237.1,198.0,0.369,True
P1011-135,A,1011,0.916,233.3,219.0,0.355,True
P1002-123,A,1002,0.929,246.1,224.0,0.375,True
P1006-159,A,1006,0.795,233.1,237.0,0.333,True
P1006-107,B,1006,0.886,247.9,219.0,0.333,True
P1006-139,A,1006,0.927,229.9,199.0,0.369,True
P1011-019,A,1011,0.833,223.4,200.0,0.364,True
P1005-142,A,1005,0.872,226.0,225.0,0.364,True
P1011-026,A,1011,0.916,244.8,242.0,0.338,True
P1001-050,B,1001,0.91,252.8,179.0,0.361,True
P1009-021,A,1009,0.882,227.1,175.0,0.39,True
P1007-064,A,1007,0.894,228.4,189.0,0.372,True
P1003-120,A,1003,0.885,236.6,205.0,0.362,True
P1003-043,B,1003,0.906,231.5,210.0,0.355,True
P1008-131,A,1008,0.988,252.5,213.0,0.348,True
P1008-097,A,1008,0.746,194.7,221.0,0.336,True
P1007-100,A,1007,0.886,222.9,214.0,0.364,True
P1001-150,B,1001,0.945,228.3,235.0,0.372,True
P1007-069,B,1007,0.752,194.3,242.0,0.347,True
P1011-055,B,1011,0.857,219.0,220.0,0.355,True
P1001-159,A,1001,0.795,214.6,229.0,0.348,True
P1006-089,B,1006,0.775,221.6,235.0,0.355,True
P1006-098,B,1006,0.975,253.4,233.0,0.358,True
P1010-048,B,1010,0.943,234.5,222.0,0.328,True
P1004-035,A,1004,0.952,225.8,217.0,0.365,True
P1006-027,A,1006,0.88,231.7,249.0,0.371,True
P1008-036,A,1008,0.896,246.3,209.0,0.355,True
P1001-032,B,1001,0.842,217.6,224.0,0.328,True
P1009-119,A,1009,0.88,221.5,216.0,0.345,True
P1010-010,A,1010,0.978,246.9,197.0,0.373,True
P1008-101,A,1008,0.935,234.1,221.0,0.315,True
P1008-151,B,1008,0.913,242.8,227.0,0.356,True
P1009-122,A,1009,0.971,239.5,206.0,0.337,True
P1009-065,B,1009,0.859,239.2,205.0,0.377,True
P1010-010,B,1010,0.887,220.5,187.0,0.353,True
P1005-133,B,1005,0.874,231.8,205.0,0.37,True
P1006-001,A,1006,0.95,235.4,238.0,0.365,True
P1008-109,B,1008,0.904,219.7,212.0,0.389,True
P1003-107,B,1003,0.927,217.4,233.0,0.357,True
P1010-031,B,1010,0.832,236.8,203.0,0.372,True
P1009-118,A,1009,0.959,234.5,245.0,0.333,True
P1007-028,A,1007,0.829,216.1,186.0,0.381,True
P1004-036,A,1004,0.947,236.6,214.0,0.345,True
P1004-130,A,1004,0.889,246.6,204.0,0.351,True
P1005-156,A,1005,0.97,212.3,222.0,0.354,True
P1008-043,A,1008,0.945,219.6,210.0,0.333,True
P1009-147,A,1009,1.009,231.7,217.0,0.356,True
P1008-146,B,1008,0.849,247.5,205.0,0.38,True
P1011-123,A,1011,0.806,229.8,217.0,0.369,True
P1011-023,B,1011,0.889,242.3,208.0,0.339,True
P1008-048,B,1008,0.898,220.2,205.0,0.36,True
P1005-108,A,1005,0.869,218.1,221.0,0.372,True
P1007-159,B,1007,0.855,235.7,192.0,0.337,True
P1005-130,A,1005,0.938,237.8,228.0,0.341,True
P1007-067,B,1007,0.849,236.5,196.0,0.378,True
P1009-038,A,1009,0.839,226.9,250.0,0.367,True
P1005-153,B,1005,0.77,227.0,207.0,0.376,True
P1006-044,A,1006,0.827,230.1,231.0,0.391,True
P1001-055,A,1001,0.86,240.1,199.0,0.368,True
P1009-154,A,1009,0.919,245.2,218.0,0.368,True
P1006-090,B,1006,0.712,199.6,208.0,0.414,False
P1006-043,B,1006,0.825,201.0,210.0,0.363,True
P1006-001,A,1006,0.763,235.0,224.0,0.355,True
P1003-069,A,1003,0.918,249.7,236.0,0.364,True
P1007-157,A,1007,0.904,222.1,229.0,0.365,True
P1009-069,A,1009,0.925,213.7,242.0,0.35,True
P1004-112,A,1004,0.997,242.9,225.0,0.338,True
P1002-041,A,1002,0.776,235.3,214.0,0.401,False
P1005-124,B,1005,0.894,255.1,219.0,0.367,True
P1003-124,B,1003,0.809,232.9,202.0,0.356,True
P1005-097,A,1005,0.805,221.9,227.0,0.378,True
P1007-123,B,1007,0.926,225.4,231.0,0.359,True
P1002-093,A,1002,0.922,235.9,189.0,0.354,True
P1009-061,B,1009,0.919,231.9,229.0,0.369,True
P1003-118,A,1003,0.866,219.1,229.0,0.342,True
P1010-133,B,1010,1.022,268.4,199.0,0.36,True
P1009-134,B,1009,0.874,253.3,224.0,0.392,True
P1003-034,B,1003,0.859,244.3,212.0,0.371,True
P1007-108,A,1007,0.914,224.1,211.0,0.353,True
P1002-001,B,1002,0.808,236.9,239.0,0.36,True
P1002-091,A,1002,0.848,237.5,220.0,0.356,True
P1011-091,A,1011,0.891,238.6,227.0,0.356,True
P1009-058,B,1009,0.875,247.0,186.0,0.358,True
P1002-159,A,1002,0.923,243.5,222.0,0.371,True
P1004-141,B,1004,0.884,241.6,205.0,0.337,True
P1003-007,B,1003,0.826,235.8,180.0,0.379,True
P1005-034,A,1005,0.892,237.5,219.0,0.354,True
P1004-034,B,1004,0.932,215.1,193.0,0.366,True
P1004-143,A,1004,0.855,231.4,215.0,0.345,True
P1006-083,A,1006,0.851,223.4,207.0,0.382,True
P1003-116,A,1003,0.912,219.6,237.0,0.377,True
P1010-129,B,1010,0.893,253.6,203.0,0.377,True
P1009-123,A,1009,0.901,254.8,215.0,0.336,True
P1009-015,A,1009,0.98,256.7,218.0,0.367,True
P1002-023,A,1002,0.951,241.2,224.0,0.362,True
P1008-063,B,1008,0.817,243.6,190.0,0.343,True
P1010-054,B,1010,0.893,233.6,208.0,0.362,True
P1002-119,B,1002,0.778,226.7,178.0,0.375,True
P1009-025,B,1009,0.974,226.8,195.0,0.366,True
P1004-060,B,1004,0.967,244.2,213.0,0.361,True
P1009-038,A,1009,0.996,242.4,194.0,0.358,True
P1006-031,A,1006,0.873,216.2,228.0,0.383,True
P1009-028,B,1009,0.711,218.3,184.0,0.392,True
P1002-032,B,1002,0.799,225.0,227.0,0.325,True
P1005-090,A,1005,0.804,247.9,224.0,0.36,True
P1004-066,A,1004,0.825,238.7,233.0,0.361,True
P1003-070,B,1003,0.93,236.5,210.0,0.334,True
P1004-077,A,1004,0.852,233.2,231.0,0.363,True
P1005-118,B,1005,0.798,226.3,204.0,0.387,True
P1002-138,A,1002,0.931,234.1,226.0,0.341,True
P1008-084,A,1008,0.917,222.3,215.0,0.363,True
P1007-103,B,1007,0.993,239.6,207.0,0.343,True
P1010-118,A,1010,0.761,214.0,236.0,0.357,True
P1008-110,A,1008,0.903,219.3,247.0,0.381,True
P1002-022,B,1002,1.007,248.7,205.0,0.347,True
P1001-157,B,1001,0.764,227.8,225.0,0.377,True
P1005-027,A,1005,0.942,215.9,218.0,0.328,True
P1006-066,A,1006,0.908,233.2,226.0,0.386,True
